School Name,School Code,School ID
Abilene Christian University,U2Nob29sLTE=,1
Abraham Baldwin Agricultural College,U2Nob29sLTI=,2
Academy of Art University,U2Nob29sLTM=,3
Bryn Athyn College,U2Nob29sLTQ=,4
Adams State University,U2Nob29sLTU=,5
Adelphi University,U2Nob29sLTY=,6
Agnes Scott College,U2Nob29sLTc=,7
Air Force Institute of Technology,U2Nob29sLTg=,8
Air University,U2Nob29sLTk=,9
Alabama A&amp;M University,U2Nob29sLTEw,10
Alabama State University,U2Nob29sLTEx,11
Alaska Pacific University,U2Nob29sLTEy,12
Albany College of Pharmacy and Health Sciences,U2Nob29sLTEz,13
Albany State University,U2Nob29sLTE0,14
College of Idaho,U2Nob29sLTE1,15
Albertus Magnus College,U2Nob29sLTE2,16
Albion College,U2Nob29sLTE3,17
Albright College,U2Nob29sLTE4,18
Alcorn State University,U2Nob29sLTE5,19
Alderson Broaddus University,U2Nob29sLTIw,20
Alfred University,U2Nob29sLTIx,21
Alice Lloyd College,U2Nob29sLTIy,22
Allegheny College,U2Nob29sLTIz,23
Allentown College of Saint Francis de Sales,U2Nob29sLTI2,26
Alma College,U2Nob29sLTI3,27
Alvernia University,U2Nob29sLTI4,28
Alverno College,U2Nob29sLTI5,29
American Graduate School of International Manageme,U2Nob29sLTMw,30
American International College,U2Nob29sLTMx,31
American University,U2Nob29sLTMy,32
Amherst College,U2Nob29sLTMz,33
Andrews University,U2Nob29sLTM2,36
Angelo State University,U2Nob29sLTM3,37
Anna Maria College,U2Nob29sLTM4,38
Antioch College,U2Nob29sLTM5,39
Antioch University: Los Angeles,U2Nob29sLTQw,40
Appalachian State University,U2Nob29sLTQz,43
Arizona State University,U2Nob29sLTQ1,45
Arkansas State University,U2Nob29sLTQ4,48
Arkansas Tech University,U2Nob29sLTQ5,49
Georgia Southern University - Armstrong,U2Nob29sLTUw,50
Art Academy of Cincinnati,U2Nob29sLTUx,51
Art Center College of Design,U2Nob29sLTUy,52
Art Institute of Seattle,U2Nob29sLTUz,53
Asbury University,U2Nob29sLTU0,54
Asbury Theological Seminary,U2Nob29sLTU1,55
Ashland University,U2Nob29sLTU2,56
Athena University,U2Nob29sLTU4,58
Atlantic Union College,U2Nob29sLTU5,59
Auburn University at Montgomery,U2Nob29sLTYx,61
Audrey Cohen College,U2Nob29sLTYy,62
Augsburg University,U2Nob29sLTYz,63
Augusta University,U2Nob29sLTY0,64
Augustana University,U2Nob29sLTY1,65
Augustana College,U2Nob29sLTY2,66
